time_us,out_nrc,out_rlc,out_nav,out_rs,out_ae,out_pt
24064537,0,2500,0,1,-1,8.4670806245412678e-05
24084529,0,2500,0,1,-1,8.39101558085531e-05
24104521,0,2500,0,1,-1,8.2912520156241953e-05
24124513,0,2500,0,1,-1,8.2348844443913549e-05
24144505,0,2500,0,1,-1,8.3430029917508364e-05
24164497,0,2500,0,1,-1,8.3489889220800251e-05
24184489,0,2500,0,1,-1,8.3530903793871403e-05
24204481,0,2500,0,1,-1,8.1781887274701148e-05
24224473,0,2500,0,1,-1,8.3077815361320972e-05
24244465,0,2500,0,1,-1,8.4661354776471853e-05
24264457,0,2500,0,1,-1,8.5576823039446026e-05
24284449,0,2500,0,1,-1,8.4789637185167521e-05
24304441,0,2500,0,1,-1,8.4630308265332133e-05
24324433,0,2500,0,1,-1,8.4588558820541948e-05
24344425,0,2500,0,1,-1,8.541800343664363e-05
24364417,0,2500,0,1,-1,8.5247876995708793e-05
24384409,0,2500,0,1,-1,8.5439336544368416e-05
24404401,0,2500,0,1,-1,8.5747815319336951e-05
24424393,0,2500,0,1,-1,8.7641165009699762e-05
24444385,0,2500,0,1,-1,8.887370495358482e-05
24464377,0,2500,0,1,-1,8.8850865722633898e-05
24484369,0,2500,0,1,-1,8.9347893663216382e-05
24504361,0,2500,0,1,-1,8.9889821538235992e-05
24524353,0,2500,0,1,-1,8.9183689851779491e-05
24544345,0,2500,0,1,-1,8.9680972450878471e-05
24564337,0,2500,0,1,-1,9.0587003796827048e-05
24584329,0,2500,0,1,-1,9.3004746304359287e-05
24604321,0,2500,0,1,-1,9.3657661636825651e-05
24624313,0,2500,0,1,-1,9.3188238679431379e-05
24645138,0,2500,0,1,-1,9.5181821961887181e-05
24665130,0,2500,0,1,-1,9.6667929028626531e-05
24685122,0,2500,0,1,-1,9.7034702775999904e-05
24705114,0,2500,0,1,-1,9.7725853265728801e-05
24725106,0,2500,0,1,-1,9.7483884019311517e-05
24745098,0,2500,0,1,-1,9.8357129900250584e-05
24765090,0,2500,0,1,-1,9.8348704341333359e-05
24785082,0,2500,0,1,-1,9.9402823252603412e-05
24805074,0,2500,0,1,-1,9.9751967354677618e-05
24825066,0,2500,0,1,-1,9.946931095328182e-05
24845058,0,2500,0,1,-1,0.0001001269556581974
24865050,0,2500,0,1,-1,0.00010026695963460952
24885042,0,2500,0,1,-1,9.9707896879408509e-05
24905034,0,2500,0,1,-1,9.8612144938670099e-05
24925026,0,2500,0,1,-1,9.8569202236831188e-05
24945018,0,2500,0,1,-1,0.00010129088332178071
24965010,0,2500,0,1,-1,0.00010278970876242965
24985002,0,2500,0,1,-1,0.0001043565061991103
25004994,0,2500,0,1,-1,0.00010622354602674022
25024986,0,2500,0,1,-1,0.00010612667392706499
25044978,0,2500,0,1,-1,0.00010569605365162715
25064970,0,2500,0,1,-1,0.00010762827150756493
25084962,0,2500,0,1,-1,0.0001078723871614784
25104954,0,2500,0,1,-1,0.00010847636440303177
25124946,0,2500,0,1,-1,0.00010954052413580939
25144938,0,2500,0,1,-1,0.00010796639980981126
25164930,0,2500,0,1,-1,0.00010765610204543918
25184922,0,2500,0,1,-1,0.00010949541319860145
25204914,0,2500,0,1,-1,0.00010850312537513673
25224906,0,2500,0,1,-1,0.00010884656512644142
25244898,0,2500,0,1,-1,0.000110437955299858
25264890,0,2500,0,1,-1,0.00011118490510853007
25284882,0,2500,0,1,-1,0.00011273560085101053
25304874,0,2500,0,1,-1,0.00011294462456135079
25324866,0,2500,0,1,-1,0.00011341577192069963
25344858,0,2500,0,1,-1,0.00011566392640816048
25364850,0,2500,0,1,-1,0.00011741893104044721
25384842,0,2500,0,1,-1,0.00011788893607445061
