time_us,out_c1,out_c2,out_c3,out_c4,out_armed
1785119,1500,1500,1000,1500,0
1985039,1500,1500,1000,1500,0
2224943,1500,1500,1000,1500,0
2424863,1500,1500,1000,1500,0
2624783,1500,1500,1000,1500,0
2824703,1500,1500,1000,1500,0
3024623,1500,1500,1000,1500,0
3224543,1500,1500,1000,1500,0
3424463,1500,1500,1000,1500,0
3624383,1500,1500,1000,1500,0
3825136,1500,1500,1000,1500,0
4025056,1500,1500,1000,1500,0
4264960,1500,1500,1000,1500,0
4464880,1500,1500,1000,1500,0
4664800,1500,1500,1000,1500,0
4864720,1500,1500,1000,1500,0
5064640,1500,1500,1000,1500,0
5264560,1500,1500,1000,1500,0
5464480,1500,1500,1000,1500,0
5664400,1500,1500,1000,1500,0
5864320,1500,1500,1000,1500,0
6065073,1500,1500,1000,1500,0
6304977,1500,1500,1000,1500,0
6504897,1500,1500,1000,1500,0
6704817,1500,1500,1000,1500,0
6904737,1500,1500,1000,1500,0
7104657,1500,1500,1000,1500,0
7304577,1500,1500,1000,1500,0
7504497,1500,1500,1000,1500,0
7704417,1500,1500,1000,1500,0
7904337,1500,1500,1000,1500,0
8105090,1500,1500,1000,1500,0
8305010,1500,1500,1000,1500,0
8544914,1500,1500,1000,1500,0
8744834,1500,1500,1000,1500,0
8944754,1500,1500,1000,1500,0
9144674,1500,1500,1000,1500,0
9344594,1500,1500,1000,1500,0
9544514,1500,1500,1000,1500,0
9744434,1500,1500,1000,1500,0
9944354,1500,1500,1000,1500,0
10145107,1500,1500,1000,1500,0
10345027,1500,1500,1000,1500,0
10584931,1500,1500,1000,1500,0
10784851,1500,1500,1000,1500,0
10984771,1500,1500,1000,1500,0
11184691,1500,1500,1000,1500,0
11384611,1500,1500,1000,1500,0
11584531,1500,1500,1000,1500,0
11784451,1500,1500,1000,1500,0
11984371,1500,1500,1000,1500,0
12185124,1500,1500,1000,1500,0
12385044,1500,1500,1000,1500,0
12624948,1500,1500,1000,1500,0
12824868,1500,1500,1000,1500,0
13024788,1500,1500,1000,1500,0
13224708,1500,1500,1000,1500,0
13424628,1500,1500,1000,1500,0
13624548,1500,1500,1000,1500,0
13824468,1500,1500,1000,1500,0
14024388,1500,1500,1000,1500,0
14225141,1500,1500,1000,1500,0
14425061,1500,1500,1000,1500,0
14664965,1500,1500,1000,1500,0
14864885,1500,1500,1000,1500,0
15064805,1500,1500,1000,1500,0
15264725,1500,1500,1000,1500,0
15464645,1500,1500,1000,1500,0
15664565,1500,1500,1000,1500,0
15864485,1500,1500,1000,1500,0
16064405,1500,1500,1000,1500,0
16264325,1500,1500,1000,1500,0
16465078,1500,1500,1000,1500,0
16704982,1500,1500,1000,1500,0
16904902,1500,1500,1000,1500,0
17104822,1500,1500,1000,1500,0
17304742,1500,1500,1000,1500,0
17504662,1500,1500,1000,1500,0
17704582,1500,1500,1000,1500,0
17904502,1500,1500,1000,1500,0
18104422,1500,1500,1000,1500,0
18304342,1500,1500,1000,1500,0
18505095,1500,1500,1000,1500,0
18705015,1500,1500,1000,1500,0
18944919,1500,1500,1000,1500,0
19144839,1500,1500,1000,1500,0
19344759,1500,1500,1000,1500,0
19544679,1500,1500,1000,1500,0
19744599,1500,1500,1000,1500,0
19944519,1500,1500,1000,1500,0
20144439,1500,1500,1000,1500,0
20344359,1500,1500,1000,1500,0
20545112,1500,1500,1000,1500,0
20745032,1500,1500,1000,1500,0
20984936,1500,1500,1000,1500,0
21184856,1500,1500,1000,1500,0
21384776,1500,1500,1000,1500,0
21584696,1500,1500,1000,1500,0
21784616,1500,1500,1000,1500,0
21984536,1500,1500,1000,1500,0
22184456,1500,1500,1000,1500,0
22384376,1500,1500,1000,1500,0
22585129,1500,1500,1000,1500,0
22785049,1500,1500,1000,1500,0
23024953,1500,1500,1000,1500,0
23224873,1500,1500,1000,1500,0
23424793,1500,1500,1000,1500,0
23624713,1500,1500,1000,1500,0
23824633,1500,1500,1000,1500,0
24024553,1500,1500,1000,1500,0
24224473,1500,1612,1000,1500,0
24424393,1500,1612,1000,1500,0
24624313,1500,1612,1000,1500,0
24825066,1500,1612,1000,1500,0
25064970,1500,1612,1000,1500,0
25264890,1500,1612,1000,1500,0
25464810,1500,1612,1000,1500,0
25664730,1500,1612,1000,1500,0
25864650,1500,1612,1000,1500,0
26064570,1500,1612,1000,1500,0
26264490,1500,1612,1000,1500,1
26384442,1499,1637,1000,1500,1
26504394,1499,1637,1000,1500,1
26624346,1499,1637,1000,1500,1
26745131,1499,1637,1000,1500,1
26865083,1499,1637,1000,1500,1
26985035,1499,1637,1000,1500,1
27104987,1499,1637,1000,1645,1
27224939,1499,1637,1000,1645,1
27344891,1499,1100,1000,1645,1
27464843,1499,1100,1300,1645,1
27584795,1499,1100,1300,1645,1
27704747,1499,1100,1300,1645,1
27824699,1499,1100,1300,1645,1
27944651,1499,1100,1300,1645,1
28064603,1499,1100,1300,1645,1
28184555,1499,1100,1300,1645,1
28304507,1499,1100,1300,1645,1
28424459,1499,1100,1300,1645,1
28544411,1499,1100,1300,1645,1
28664363,1498,1100,1300,1645,1
28784315,1498,1100,1300,1645,1
28905100,1498,1100,1300,1645,1
29025052,1498,1100,1300,1645,1
29145004,1498,1100,1300,1645,1
29264956,1498,1100,1300,1645,1
29384908,1498,1100,1300,1645,1
29504860,1498,1100,1300,1645,1
29624812,1498,1100,1300,1645,1
29744764,1498,1100,1600,1501,1
29864716,1498,1100,1600,1501,1
29984668,1498,1100,1600,1501,1
30104620,1498,1100,1600,1501,1
30224572,1498,1100,1600,1501,1
30344524,1498,1100,1600,1501,1
30464476,1498,1100,1600,1501,1
30584428,1498,1100,1600,1501,1
30704380,1498,1100,1600,1501,1
30824332,1499,1100,1600,1500,1
30945117,1498,1100,1600,1500,1
31065069,1498,1100,1600,1501,1
31185021,1498,1100,2000,1501,1
31304973,1498,1100,2000,1501,1
31424925,1498,1100,2000,1501,1
31544877,1498,1100,2000,1501,1
31664829,1498,1100,2000,1501,1
31784781,1498,1100,2000,1500,1
31904733,1498,1100,2000,1501,1
32024685,1498,1100,2000,1501,1
32144637,1498,1100,2000,1501,1
32264589,1498,1100,2000,1501,1
32384541,1498,1100,2000,1501,1
32504493,1498,1100,2000,1501,1
32624445,1498,1100,2000,1501,1
32744397,1499,1240,2000,1500,1
32864349,1498,1446,2000,1501,1
32985134,1499,1606,2000,1500,1
33105086,1497,1675,2000,1501,1
33225038,1500,1659,2000,1500,1
33344990,1500,1590,2000,1500,1
33464942,1499,1517,2000,1500,1
33584894,1499,1465,2000,1500,1
33704846,1498,1446,2000,1501,1
33824798,1500,1454,2000,1500,1
33944750,1500,1740,2000,1500,1
34064702,1500,1772,2000,1500,1
34184654,1500,1690,2000,1500,1
34304606,1503,1577,2000,1499,1
34424558,1499,1488,2000,1500,1
34544510,1500,1439,2000,1500,1
34664462,1500,1441,2000,1500,1
34784414,1500,1471,2000,1500,1
34904366,1502,1508,2000,1499,1
35024318,1500,1536,2000,1500,1
35145103,1500,1529,1900,1500,1
35265055,1502,1533,1780,1499,1
35385007,1500,1551,1679,1500,1
35504959,1500,1564,1719,1500,1
35624911,1499,1576,1681,1500,1
35744863,1500,1572,1665,1500,1
35864815,1498,1547,1650,1500,1
35984767,1499,1518,1641,1500,1
36104719,1500,1500,1639,1500,1
36224671,1500,1504,1658,1500,1
36344623,1500,1521,1673,1500,1
36464575,1499,1541,1685,1500,1
36584527,1499,1549,1692,1500,1
36704479,1500,1545,1695,1500,1
36824431,1500,1530,1695,1500,1
36944383,1498,1517,1698,1501,1
37064335,1499,1515,1704,1500,1
37185120,1500,1521,1714,1500,1
37305072,1500,1530,1724,1500,1
37425024,1500,1537,1740,1500,1
37544976,1500,1537,1746,1500,1
37664928,1501,1532,1750,1500,1
37784880,1500,1525,1754,1500,1
37904832,1500,1521,1759,1500,1
38024784,1500,1519,1773,1500,1
38144736,1500,1524,1782,1500,1
38264688,1500,1528,1790,1500,1
38384640,1501,1533,1797,1500,1
38504592,1501,1534,1803,1500,1
38624544,1501,1533,1814,1500,1
38744496,1501,1527,1819,1500,1
38864448,1500,1523,1824,1500,1
38984400,1500,1521,1829,1500,1
39104352,1500,1525,1837,1500,1
39225137,1500,1530,1853,1500,1
39345089,1499,1533,1860,1500,1
39465041,1500,1534,1866,1500,1
39584993,1501,1531,1786,1500,1
39704945,1500,1530,1676,1500,1
39824897,1500,1545,1560,1500,1
39944849,1501,1560,1580,1500,1
40064801,1500,1571,1625,1500,1
40184753,1500,1573,1665,1500,1
40304705,1500,1545,1694,1500,1
40424657,1500,1506,1737,1500,1
40544609,1500,1483,1762,1500,1
40664561,1500,1477,1791,1500,1
40784513,1499,1496,1822,1500,1
40904465,1499,1522,1851,1500,1
41024417,1500,1543,1885,1500,1
41144369,1499,1547,1892,1500,1
41264321,1500,1535,1893,1500,1
41385106,1500,1519,1888,1500,1
41505058,1500,1508,1889,1500,1
41625010,1499,1513,1901,1500,1
41744962,1501,1528,1910,1500,1
41864914,1501,1540,1916,1500,1
41984866,1501,1542,1921,1500,1
42104818,1500,1535,1916,1500,1
42224770,1500,1527,1910,1500,1
42344722,1500,1522,1911,1500,1
42464674,1500,1526,1913,1500,1
42584626,1499,1530,1914,1500,1
42704578,1498,1537,1919,1500,1
42824530,1498,1539,1922,1501,1
42944482,1499,1536,1919,1500,1
43064434,1499,1532,1922,1500,1
43184386,1500,1528,1918,1500,1
43304338,1501,1527,1920,1500,1
43425123,1500,1531,1928,1500,1
43545075,1500,1535,1930,1500,1
43665027,1499,1538,1930,1500,1
43784979,1500,1537,1933,1500,1
43904931,1500,1535,1932,1500,1
44024883,1499,1530,1929,1500,1
44144835,1499,1528,1930,1500,1
44264787,1499,1529,1929,1500,1
44384739,1499,1531,1933,1500,1
44504691,1500,1536,1932,1500,1
44624643,1500,1539,1931,1500,1
44744595,1500,1536,1930,1500,1
44864547,1500,1533,1930,1500,1
44984499,1500,1533,1929,1500,1
45104451,1502,1532,1932,1499,1
45224403,1500,1531,1932,1500,1
45344355,1499,1531,1931,1500,1
45465140,1500,1533,1932,1500,1
45585092,1500,1536,1933,1500,1
45705044,1499,1536,1935,1500,1
45824996,1499,1537,1930,1500,1
45944948,1500,1536,1930,1500,1
46064900,1500,1535,1927,1500,1
46184852,1500,1532,1927,1500,1
46304804,1501,1532,1922,1500,1
46424756,1500,1535,1925,1500,1
46544708,1500,1535,1922,1500,1
46664660,1500,1531,1923,1500,1
46784612,1500,1528,1917,1500,1
46904564,1498,1530,1919,1501,1
47024516,1499,1534,1919,1500,1
47144468,1499,1537,1924,1500,1
47264420,1500,1537,1921,1500,1
47384372,1501,1536,1916,1500,1
47504324,1500,1533,1917,1500,1
47625109,1500,1531,1916,1500,1
47745061,1500,1528,1913,1500,1
47865013,1501,1532,1916,1500,1
47984965,1501,1537,1917,1500,1
48104917,1501,1539,1919,1500,1
48224869,1501,1536,1912,1500,1
48344821,1501,1534,1911,1500,1
48464773,1501,1532,1908,1500,1
48584725,1500,1532,1908,1500,1
48704677,1500,1533,1909,1500,1
48824629,1501,1535,1907,1500,1
48944581,1500,1536,1909,1500,1
49064533,1500,1537,1907,1500,1
49184485,1379,1533,1910,1560,1
49304437,1395,1526,1913,1552,1
49424389,1403,1518,1921,1548,1
49544341,1403,1513,1935,1548,1
49665126,1402,1508,1963,1549,1
49785078,1413,1497,2000,1543,1
49905030,1469,1473,1911,1515,1
50024982,1506,1451,1791,1497,1
50144934,1523,1449,1671,1489,1
50264886,1524,1463,1551,1488,1
50384838,1517,1488,1531,1492,1
50504790,1509,1516,1631,1496,1
50624742,1501,1545,1751,1500,1
50744694,1496,1557,1871,1502,1
50864646,1492,1549,1904,1504,1
50984598,1491,1522,1857,1504,1
51104550,1492,1494,1831,1504,1
51224502,1492,1465,1847,1504,1
51344454,1494,1443,1885,1503,1
51464406,1495,1432,1925,1502,1
51584358,1493,1427,1962,1503,1
51704310,1495,1435,1999,1502,1
51825095,1495,1444,1980,1502,1
51945047,1495,1458,1946,1502,1
52064999,1497,1479,2000,1501,1
52184951,1499,1490,1954,1500,1
52304903,1499,1495,2000,1500,1
52424855,1499,1493,1974,1500,1
52544807,1497,1490,1960,1501,1
52664759,1498,1487,2000,1501,1
52784711,1497,1487,1953,1501,1
52904663,1498,1489,2000,1501,1
53024615,1500,1488,1973,1500,1
53144567,1499,1489,1960,1500,1
53264519,1501,1490,2000,1500,1
53384471,1500,1492,1953,1500,1
53504423,1501,1492,2000,1500,1
53624375,1501,1495,1973,1500,1
53744327,1504,1496,1960,1498,1
53865112,1506,1498,2000,1497,1
53985064,1505,1500,1953,1498,1
54105016,1505,1501,2000,1498,1
54224968,1508,1504,1973,1496,1
54344920,1507,1506,1960,1497,1
54464872,1507,1508,2000,1497,1
54584824,1506,1509,1953,1497,1
54704776,1506,1509,2000,1497,1
54824728,1508,1512,1973,1496,1
54944680,1507,1513,1960,1497,1
55064632,1508,1514,2000,1496,1
55184584,1509,1515,1966,1496,1
55304536,1508,1513,2000,1496,1
55424488,1509,1514,1975,1496,1
55544440,1510,1517,1960,1495,1
55664392,1509,1519,1977,1496,1
55784344,1511,1528,1980,1495,1
55905129,1510,1532,1970,1495,1
56025081,1513,1529,1856,1494,1
56145033,1510,1532,1743,1495,1
56264985,1511,1544,1629,1495,1
56384937,1509,1556,1647,1496,1
56504889,1506,1564,1691,1497,1
56624841,1504,1563,1749,1498,1
56744793,1500,1534,1775,1500,1
56864745,1496,1504,1791,1502,1
56984697,1495,1481,1810,1502,1
57104649,1500,1468,1836,1500,1
57224601,1512,1473,1892,1494,1
57344553,1524,1492,1927,1488,1
57464505,1533,1516,1945,1484,1
57584457,1533,1535,1948,1484,1
57704409,1528,1544,1938,1486,1
57824361,1520,1541,1910,1490,1
57944313,1507,1533,1894,1497,1
58065098,1498,1525,1891,1501,1
58185050,1494,1519,1890,1503,1
58305002,1496,1519,1898,1502,1
58424954,1501,1522,1919,1500,1
58544906,1509,1526,1930,1496,1
58664858,1511,1527,1937,1495,1
58784810,1511,1526,1938,1495,1
58904762,1509,1524,1935,1496,1
